Surname;First name;City;Class;Time;Pl;Points;ZL1;ZL2;ZL3;ZL4;ZL5;ZL6;ZL7;ZL8;ZL9;ZL10;ZL11;ZL12;Sum;Average
Mamič;Hana;PD Ajdovščina;C;;;;;;;;;;57;;;;;;57;57
Lozar;Zala;PD Ajdovščina;C;;;;;;;;;;56;;;;;;56;56
Obid;Anže;OK Azimut;C;;;;;;;56;;;;;;;;;56;56
Hočevar;Lucija;OŠ Vodice;C;;;;;;;;;;;;;53;;;53;53
Šorli;Neža;Planinsko društvo Tolmin;C;;;;;;;;;;;50;;;;;50;50
Palmer;Luka;OŠ Vodice;C;;;;;;;;;;;;;50;;;50;50
Mihalič;Marcel;OK Komenda;C;;;;;;;;;;;;;;48;;48;48
Majdič;Špela;OK Azimut;C;;;;;;;42;;;;;;;;;42;42
Korenčan;Još;Posameznikibrez kluba;C;;;;;35;;;;;;;;;;;35;35
Kacin;Marisa;Posamezniki  brez kluba;C;;;;;;;34;;;;;;;;;34;34
