Surname;First name;City;Class;Time;Pl;Points;ZL1;ZL2;ZL3;ZL4;Sum;Average
Veselič;Aleš;ind.;B;;;;;;;;125;125
Bogataj;Natasa;OK Azimut;B;mp;;;;121;;-;121;121
Valič;Jakob;PD Ajdovščina;B;;;;87;;;;87;87
Krivičić;Dragan;OK Perkmandeljc;B;;;;;;;;60;60
Tušar;Teja;OK Azimut;B;mp;;;;;;-;0;0
Kacin;Igor;Posamezniki  brez kluba;B;mp;;;;;;-;0;0
Bogataj;Rok;OK Azimut;C;0:20:26;2;108;125;104;;108;337;112
Obid;Neža;OK Azimut;C;0:26:35;6;82;130;113;;82;325;108
Eržen;Nea;OK Azimut;C;0:25:43;5;86;123;74;;86;283;94
Gantar;Primož;OK Azimut;C;0:22:12;4;98;69;93;;98;260;87
Obid;Aljaž;OK Azimut;C;0:21:08;3;104;;122;;104;226;113
Kremžar;Lucija;OK Komenda;C;0:36:24;11;58;;75;;58;225;75
Gantar;Borut;OK Azimut;C;0:29:38;8;73;78;72;;73;223;74
Cokan;Jan;OK Komenda;C;;;;119;102;;;221;110
Švigelj;Zala Mia;OK Komenda;C;;;;107;;;;209;104
Trunk;Nejc;OK Komenda;C;;;;113;79;;;192;96
Obid;Maja;OK Azimut;C;0:31:16;9;69;56;65;;69;190;63
Trunk;Neža;OK Komenda;C;;;;84;88;;;172;86
Sedej;David;OK Azimut;C;;;;;71;;;170;85
Letonja;Arlina;OK Azimut;C;;;;97;56;;;153;76
Gombač Šuc;Elena;ind.;C;;;;53;;;;142;71
Kurinčič;Jakob;OK Komenda;C;;;;64;63;;;127;64
Brus;Jakob;OK Azimut;C;0:18:55;1;116;;;;116;116;116
Serženta Seljak;Zala;OK Azimut;C;;;;55;60;;;115;58
Jeraj;Ajda;OK Komenda;C;;;;51;;;;115;58
Kolner;Brina;ind.;C;;;;;;;;111;111
Salopek;Dorja;OK Azimut;C;;;;102;;;;102;102
Švigelj;Luka;OK Komenda;C;;;;99;;;;99;99
Šuc;Timotej;ind.;C;;;;95;;;;95;95
Gmajner;Miha;OK Komenda;C;;;;92;;;;92;92
Kölner;Brina;OK Komenda;C;;;;91;;;;91;91
Erjavec;Andrej;OK Azimut;C;;;;89;;;;89;89
Malus;Marta;OK Komenda;C;;;;87;;;;87;87
Šuc;Enej;Posameznikibrez kluba;C;;;;;53;;;86;43
Ilovar;Pia;OK Tivoli;C;;;;;;;;85;85
Bogataj;Nataša;OK Azimut;C;;;;85;;;;85;85
Kremžar;Florijan;Posameznikibrez kluba;C;0:49:48;15;40;;43;;40;83;42
Močnik;Jana;OK Azimut;C;0:27:13;7;80;;;;80;80;80
Malus;Ožbej;OK Komenda;C;;;;;77;;;77;77
Kolner;Anže;ind.;C;;;;;;;;76;76
Čibej;Barbara;OK Azimut;C;;;;75;;;;75;75
Istenič;Maja;OK Azimut;C;0:41:36;13;49;25;;;49;74;37
Kölner;Anže;OK Komenda;C;;;;73;;;;73;73
Sedej;Rok;OK Azimut;C;;;;;69;;;69;69
Kremžar;Florjan;ind.;C;;;;;;;;68;68
Eržen;Nika;OK Azimut;C;0:32:02;10;66;;;;66;66;66
Saksida;Nina;OK Komenda;C;;;;61;;;;61;61
Lončar;Naja;OK Komenda;C;;;;59;;;;59;59
Zupan;Lara;OK Komenda;C;;;;;;;;59;59
Jerebič;Simon Erik;OK Komenda;C;;;;57;;;;57;57
Kern;Patricija;OK Komenda;C;;;;;57;;;57;57
Obid;Anže;OK Azimut;C;0:37:17;12;56;;;;56;56;56
Malus;Drejc;OK Komenda;C;;;;;52;;;52;52
Plevel;Patrik;OK Komenda;C;;;;46;;;;46;46
Majdič;Špela;OK Azimut;C;0:48:31;14;42;;;;42;42;42
Korenčan;Još;Posameznikibrez kluba;C;;;;;35;;;35;35
Kacin;Marisa;Posamezniki  brez kluba;C;0:56:44;16;34;;;;34;34;34
