Surname;First name;City;Class;Time;Pl;Points;ZL1;ZL2;ZL3;ZL4;ZL5;ZL6;ZL7;ZL8;ZL9;ZL10;ZL11;ZL12;ZL13;ZL14;ZL15;ZL16;ZL17;ZL18;ZL19;ZL20;Sum;Average
Pretnar;Tanja;Kamniški OK;A;;;;;702;;;;;;;585;;;;;;;958;;-;;;2245;748
Mrak;Tibor;OK Azimut;A;0:49:40;3;1065;;;;;;;;;1116;;;;;;;;;;;1065;2181;1090
Kuzmin;Anka;SEMIPERDO MANIAGO;A;1:17:46;31;718;;;;675;;;;;;;;;;743;;;;;;718;2136;712
Zupančič;Maja;RJZ Velenje;A;;;;;;;;417;;;721;;;;;;;238;;;;728;;2104;526
Kmetič;Sandi;OK Polaris;A;;;;;;;;;;;;;;942;;965;;;;;;;;1907;954
Bartulovich;Lorenzo;SSD Gaja  Sezione Orientamento;A;0:59:28;9;944;;;;;;;;;;;;;;922;;;;;;944;1866;933
Močnik;Silvij;OK Azimut;A;1:04:37;14;880;;;;;;;;;;;;;;919;;;;;;880;1799;900
Kölner;Blaž;OK Komenda;A;;;;;;;;;;;;;;940;;;;855;;;;;;1795;898
Pirnat;Luka;Domžale ;A;;;;;;;;;;;898;;;;;;;894;;;;;;1792;896
Tarabocchia;Cesare;GR OR CAI XXX OTTOBRE ASD;A;;;;;;;806;;;;;;;;;;935;;;;;;;1741;870
Dovč;Katja;OK Tivoli;A;;;;800;;;;;;;;;;;;;;884;;;;;;1684;842
Jazbar;Jožko;OK Azimut;A;;;;;;;807;;;;;876;;;;;;;;;;;;1683;842
Leoni;Gianluca;SSD Gaja;A;1:10:58;23;802;;;;;;;;;;;;;;827;;;;;;802;1629;814
Ruini;Luca;PUNTO K ORIENTEERING ASD;A;1:13:17;25;773;;;;;;;;;;;;;;821;;;;;;773;1594;797
Sepin;Chiara;SSD Gaja  Sezione Orientamento;A;1:09:08;18;824;;;;;;;;;;;;;;738;;;;;;824;1562;781
Kastelic;Simon;Domžale ;A;;;;;;;;;;;648;;;;-;-;;894;;;;;;1542;771
Fontanot;Daniele;PUNTO K ORIENTEERING ASD;A;1:16:25;30;734;;;;;;;;;;;;;;783;;;;;;734;1517;758
De Luisa;Andraž;SSD Gaja;A;0:57:51;6;964;;;;;;;;;;;524;;;;;;;;;964;1488;744
Golja;Elio;OK Polaris;A;;;;;;;;;;;;;;;797;;;;676;;;;;1473;736
Bernardi;Andrea;PUNTO K ORIENTEERING ASD;A;1:20:20;36;686;;;;;;;;;;;;;;769;;;;;;686;1455;728
